,amount,user_id_mapping,user_seg,user_subseg
15978,10,15978,vip,vip
31304,10,31304,vip,vip
29432,10,29432,vip,vip
31908,10,31908,vip,vip
7443,10,7443,vip,vip
8957,10,8957,vip,vip
16507,10,16507,vip,vip
16458,10,16458,vip,vip
6709,10,6709,vip,vip
31721,10,31721,vip,vip
29404,10,29404,vip,vip
4216,10,4216,vip,vip
29254,10,29254,vip,vip
2868,10,2868,vip,vip
39457,10,39457,vip,vip
4931,10,4931,vip,vip
4521,10,4521,vip,vip
7296,10,7296,vip,vip
62814,10,62814,vip,vip
67767,10,67767,vip,vip
14428,10,14428,vip,vip
10794,10,10794,vip,vip
14333,10,14333,vip,vip
23406,10,23406,vip,vip
41722,10,41722,vip,vip
18608,10,18608,vip,vip
29179,10,29179,vip,vip
11749,10,11749,vip,vip
25567,10,25567,vip,vip
28125,10,28125,vip,vip
13028,10,13028,vip,vip
2350,10,2350,vip,vip
6760,10,6760,vip,vip
91,10,91,vip,vip
22171,10,22171,vip,vip
8732,10,8732,vip,vip
18686,10,18686,vip,vip
36084,10,36084,vip,vip
32004,10,32004,vip,vip
44119,10,44119,vip,vip
48484,10,48484,vip,vip
20692,10,20692,vip,vip
16673,10,16673,vip,vip
25265,10,25265,vip,vip
49960,10,49960,vip,vip
12810,10,12810,vip,vip
21798,10,21798,vip,vip
20855,10,20855,vip,vip
37401,10,37401,vip,vip
29514,10,29514,vip,vip
14421,10,14421,vip,vip
56739,10,56739,vip,vip
33267,10,33267,vip,vip
16819,10,16819,vip,vip
49962,10,49962,vip,vip
40489,10,40489,vip,vip
38783,10,38783,vip,vip
48243,10,48243,vip,vip
57935,10,57935,vip,vip
29218,10,29218,vip,vip
9454,10,9454,vip,vip
24209,10,24209,vip,vip
2553,10,2553,vip,vip
35739,10,35739,vip,vip
39183,10,39183,vip,vip
33437,10,33437,vip,vip
39176,10,39176,vip,vip
70266,10,70266,vip,vip
24467,10,24467,vip,vip
29488,10,29488,vip,vip
18064,10,18064,vip,vip
53858,10,53858,vip,vip
16623,10,16623,vip,vip
45401,10,45401,vip,vip
56426,10,56426,vip,vip
14375,10,14375,vip,vip
6627,10,6627,vip,vip
20460,10,20460,vip,vip
4795,10,4795,vip,vip
34638,10,34638,vip,vip
23744,10,23744,vip,vip
24474,10,24474,vip,vip
42570,10,42570,vip,vip
5825,10,5825,vip,vip
1643,10,1643,vip,vip
6045,10,6045,vip,vip
7249,10,7249,vip,vip
2749,10,2749,vip,vip
9109,10,9109,vip,vip
3373,10,3373,vip,vip
20195,10,20195,vip,vip
49250,10,49250,vip,vip
20239,10,20239,vip,vip
9558,10,9558,vip,vip
22791,10,22791,vip,vip
13701,10,13701,vip,vip
55210,10,55210,vip,vip
15799,10,15799,vip,vip
1001,10,1001,vip,vip
36385,10,36385,vip,vip
2251,10,2251,vip,vip
5414,10,5414,vip,vip
15713,10,15713,vip,vip
53532,10,53532,vip,vip
43839,10,43839,vip,vip
24687,10,24687,vip,vip
3836,10,3836,vip,vip
49921,10,49921,vip,vip
24625,10,24625,vip,vip
8356,10,8356,vip,vip
46773,10,46773,vip,vip
52900,10,52900,vip,vip
822,10,822,vip,vip
4451,10,4451,vip,vip
18847,10,18847,vip,vip
24174,10,24174,vip,vip
12745,10,12745,vip,vip
261,10,261,vip,vip
2264,10,2264,vip,vip
902,10,902,vip,vip
5680,10,5680,vip,vip
12892,10,12892,vip,vip
14765,10,14765,vip,vip
6484,10,6484,vip,vip
15033,10,15033,vip,vip
4090,10,4090,vip,vip
17750,10,17750,vip,vip
35417,10,35417,vip,vip
14037,10,14037,vip,vip
33517,10,33517,vip,vip
54196,10,54196,vip,vip
13630,10,13630,vip,vip
12624,10,12624,vip,vip
4476,10,4476,vip,vip
25886,10,25886,vip,vip
45008,10,45008,vip,vip
48215,10,48215,vip,vip
2670,10,2670,vip,vip
5644,10,5644,vip,vip
1805,10,1805,vip,vip
2429,10,2429,vip,vip
11702,10,11702,vip,vip
17322,10,17322,vip,vip
48987,10,48987,vip,vip
3997,10,3997,vip,vip
43885,10,43885,vip,vip
1426,10,1426,vip,vip
16547,10,16547,vip,vip
471,10,471,vip,vip
10376,10,10376,vip,vip
4254,10,4254,vip,vip
16165,10,16165,vip,vip
3507,10,3507,vip,vip
3292,10,3292,vip,vip
1724,10,1724,vip,vip
1530,10,1530,vip,vip
3665,10,3665,vip,vip
10192,10,10192,vip,vip
47257,10,47257,vip,vip
42666,10,42666,vip,vip
10522,10,10522,vip,vip
2574,10,2574,vip,vip
39690,10,39690,vip,vip
10975,10,10975,vip,vip
33659,10,33659,vip,vip
22972,10,22972,vip,vip
66811,10,66811,vip,vip
1285,10,1285,vip,vip
9865,10,9865,vip,vip
3427,10,3427,vip,vip
950,10,950,vip,vip
18867,10,18867,vip,vip
19332,10,19332,vip,vip
9935,10,9935,vip,vip
37218,10,37218,vip,vip
3911,10,3911,vip,vip
26377,10,26377,vip,vip
15661,10,15661,vip,vip
6924,10,6924,vip,vip
16309,10,16309,vip,vip
23002,10,23002,vip,vip
10710,10,10710,vip,vip
6155,10,6155,vip,vip
28353,10,28353,vip,vip
9586,10,9586,vip,vip
8331,10,8331,vip,vip
11211,10,11211,vip,vip
57088,10,57088,vip,vip
26328,10,26328,vip,vip
2824,10,2824,vip,vip
511,10,511,vip,vip
14255,10,14255,vip,vip
6558,10,6558,vip,vip
12530,10,12530,vip,vip
20705,10,20705,vip,vip
10747,10,10747,vip,vip
24721,10,24721,vip,vip
5948,10,5948,vip,vip
34226,10,34226,vip,vip
25081,10,25081,vip,vip
40503,10,40503,vip,vip
28766,10,28766,vip,vip
24007,10,24007,vip,vip
54086,10,54086,vip,vip
14426,10,14426,vip,vip
41820,10,41820,vip,vip
1,10,1,vip,vip
20999,10,20999,vip,vip
2978,10,2978,vip,vip
31853,10,31853,vip,vip
8489,10,8489,vip,vip
57485,10,57485,vip,vip
21736,10,21736,vip,vip
25779,10,25779,vip,vip
9418,10,9418,vip,vip
64471,10,64471,vip,vip
7417,10,7417,vip,vip
813,10,813,vip,vip
49691,10,49691,vip,vip
17479,10,17479,vip,vip
26566,10,26566,vip,vip
9647,10,9647,vip,vip
9466,10,9466,vip,vip
42555,10,42555,vip,vip
6960,10,6960,vip,vip
31190,10,31190,vip,vip
975,10,975,vip,vip
37006,10,37006,vip,vip
5939,10,5939,vip,vip
589,10,589,vip,vip
18163,10,18163,vip,vip
17175,10,17175,vip,vip
10073,10,10073,vip,vip
45022,10,45022,vip,vip
7772,10,7772,vip,vip
23798,10,23798,vip,vip
31034,10,31034,vip,vip
19038,10,19038,vip,vip
9765,9,9765,vip,vip
14000,9,14000,vip,vip
21238,9,21238,vip,vip
20810,9,20810,vip,vip
37792,9,37792,vip,vip
23902,9,23902,vip,vip
21233,9,21233,vip,vip
4047,9,4047,vip,vip
55114,9,55114,vip,vip
10598,9,10598,vip,vip
47074,9,47074,vip,vip
22522,9,22522,vip,vip
5876,9,5876,vip,vip
17672,9,17672,vip,vip
45171,9,45171,vip,vip
4629,9,4629,vip,vip
10775,9,10775,vip,vip
18375,9,18375,vip,vip
238,9,238,vip,vip
17002,9,17002,vip,vip
918,9,918,vip,vip
29181,9,29181,vip,vip
13459,9,13459,vip,vip
6549,9,6549,vip,vip
2353,9,2353,vip,vip
16182,9,16182,vip,vip
14923,9,14923,vip,vip
69353,9,69353,vip,vip
837,9,837,vip,vip
30193,9,30193,vip,vip
32157,9,32157,vip,vip
29519,9,29519,vip,vip
59570,9,59570,vip,vip
19469,9,19469,vip,vip
5354,9,5354,vip,vip
18267,9,18267,vip,vip
47538,9,47538,vip,vip
1802,9,1802,vip,vip
24656,9,24656,vip,vip
59787,9,59787,vip,vip
13745,9,13745,vip,vip
988,9,988,vip,vip
49349,9,49349,vip,vip
28446,9,28446,vip,vip
50685,9,50685,vip,vip
12568,9,12568,vip,vip
21582,9,21582,vip,vip
12539,9,12539,vip,vip
33258,9,33258,vip,vip
43081,9,43081,vip,vip
63584,9,63584,vip,vip
55862,9,55862,vip,vip
22609,9,22609,vip,vip
43006,9,43006,vip,vip
34077,9,34077,vip,vip
4951,9,4951,vip,vip
50113,9,50113,vip,vip
2796,9,2796,vip,vip
55,9,55,vip,vip
41808,9,41808,vip,vip
9236,9,9236,vip,vip
20132,9,20132,vip,vip
16442,9,16442,vip,vip
33686,9,33686,vip,vip
2230,9,2230,vip,vip
13089,9,13089,vip,vip
48738,9,48738,vip,vip
4199,9,4199,vip,vip
37945,9,37945,vip,vip
20818,9,20818,vip,vip
66224,9,66224,vip,vip
4956,9,4956,vip,vip
1924,9,1924,vip,vip
13847,9,13847,vip,vip
8535,9,8535,vip,vip
31052,9,31052,vip,vip
15632,9,15632,vip,vip
32642,9,32642,vip,vip
61604,9,61604,vip,vip
59024,9,59024,vip,vip
30676,9,30676,vip,vip
17084,9,17084,vip,vip
37901,9,37901,vip,vip
21520,9,21520,vip,vip
23569,9,23569,vip,vip
29085,9,29085,vip,vip
48351,9,48351,vip,vip
12711,9,12711,vip,vip
14814,9,14814,vip,vip
1034,9,1034,vip,vip
50699,9,50699,vip,vip
14343,9,14343,vip,vip
19027,9,19027,vip,vip
5946,9,5946,vip,vip
8233,9,8233,vip,vip
38091,9,38091,vip,vip
31581,9,31581,vip,vip
51728,9,51728,vip,vip
32045,9,32045,vip,vip
30149,9,30149,vip,vip
1274,9,1274,vip,vip
34362,9,34362,vip,vip
17098,9,17098,vip,vip
20389,9,20389,vip,vip
25672,9,25672,vip,vip
20743,9,20743,vip,vip
431,9,431,vip,vip
9083,9,9083,vip,vip
60484,9,60484,vip,vip
20624,9,20624,vip,vip
12153,9,12153,vip,vip
12760,9,12760,vip,vip
2064,9,2064,vip,vip
30549,9,30549,vip,vip
35433,9,35433,vip,vip
39172,9,39172,vip,vip
14212,9,14212,vip,vip
17399,9,17399,vip,vip
21438,9,21438,vip,vip
19105,9,19105,vip,vip
51299,9,51299,vip,vip
41842,9,41842,vip,vip
16508,9,16508,vip,vip
21935,9,21935,vip,vip
69799,9,69799,vip,vip
32056,9,32056,vip,vip
8290,9,8290,vip,vip
1221,9,1221,vip,vip
70815,9,70815,vip,vip
42378,9,42378,vip,vip
55715,9,55715,vip,vip
32442,9,32442,vip,vip
34420,9,34420,vip,vip
32667,9,32667,vip,vip
17639,9,17639,vip,vip
19247,9,19247,vip,vip
19101,9,19101,vip,vip
33710,9,33710,vip,vip
9723,9,9723,vip,vip
8804,9,8804,vip,vip
2398,9,2398,vip,vip
42703,9,42703,vip,vip
27055,9,27055,vip,vip
18111,9,18111,vip,vip
41560,9,41560,vip,vip
51686,9,51686,vip,vip
6148,9,6148,vip,vip
5132,9,5132,vip,vip
35364,9,35364,vip,vip
21760,9,21760,vip,vip
14399,9,14399,vip,vip
24552,9,24552,vip,vip
3145,9,3145,vip,vip
29045,9,29045,vip,vip
21091,9,21091,vip,vip
9980,9,9980,vip,vip
15246,9,15246,vip,vip
14058,9,14058,vip,vip
35317,9,35317,vip,vip
43703,9,43703,vip,vip
28061,9,28061,vip,vip
24695,9,24695,vip,vip
14930,9,14930,vip,vip
28025,9,28025,vip,vip
42865,9,42865,vip,vip
31020,9,31020,vip,vip
20613,9,20613,vip,vip
1973,9,1973,vip,vip
40637,9,40637,vip,vip
30365,9,30365,vip,vip
20798,9,20798,vip,vip
1117,9,1117,vip,vip
42007,9,42007,vip,vip
32815,9,32815,vip,vip
28344,9,28344,vip,vip
57716,9,57716,vip,vip
49846,9,49846,vip,vip
827,9,827,vip,vip
12942,9,12942,vip,vip
10410,9,10410,vip,vip
49606,9,49606,vip,vip
65204,9,65204,vip,vip
34536,9,34536,vip,vip
60113,9,60113,vip,vip
46126,9,46126,vip,vip
38461,9,38461,vip,vip
32502,9,32502,vip,vip
38180,9,38180,vip,vip
32582,9,32582,vip,vip
20322,9,20322,vip,vip
16707,9,16707,vip,vip
12549,9,12549,vip,vip
15539,9,15539,vip,vip
6076,9,6076,vip,vip
54992,9,54992,vip,vip
19239,9,19239,vip,vip
4390,9,4390,vip,vip
6759,9,6759,vip,vip
25222,9,25222,vip,vip
7130,9,7130,vip,vip
10358,9,10358,vip,vip
22206,9,22206,vip,vip
2610,9,2610,vip,vip
14359,9,14359,vip,vip
13015,9,13015,vip,vip
2320,9,2320,vip,vip
2011,9,2011,vip,vip
5221,9,5221,vip,vip
2084,9,2084,vip,vip
64355,9,64355,vip,vip
4462,9,4462,vip,vip
20144,9,20144,vip,vip
775,9,775,vip,vip
20770,9,20770,vip,vip
26268,9,26268,vip,vip
50055,9,50055,vip,vip
13806,9,13806,vip,vip
31515,9,31515,vip,vip
29512,9,29512,vip,vip
13180,9,13180,vip,vip
15811,9,15811,vip,vip
11948,9,11948,vip,vip
3522,9,3522,vip,vip
13385,9,13385,vip,vip
25049,9,25049,vip,vip
64956,9,64956,vip,vip
30204,9,30204,vip,vip
25492,9,25492,vip,vip
34677,9,34677,vip,vip
5785,9,5785,vip,vip
16640,9,16640,vip,vip
29570,9,29570,vip,vip
37850,9,37850,vip,vip
61879,9,61879,vip,vip
18439,9,18439,vip,vip
6473,9,6473,vip,vip
14906,9,14906,vip,vip
58043,9,58043,vip,vip
40013,9,40013,vip,vip
5388,9,5388,vip,vip
44091,9,44091,vip,vip
16127,9,16127,vip,vip
53337,9,53337,vip,vip
20714,9,20714,vip,vip
4195,9,4195,vip,vip
46621,9,46621,vip,vip
32053,9,32053,vip,vip
26923,9,26923,vip,vip
13127,9,13127,vip,vip
29827,9,29827,vip,vip
1250,9,1250,vip,vip
32793,9,32793,vip,vip
33,9,33,vip,vip
36393,9,36393,vip,vip
16344,9,16344,vip,vip
19960,9,19960,vip,vip
47380,9,47380,vip,vip
55838,9,55838,vip,vip
33221,9,33221,vip,vip
2570,9,2570,vip,vip
17487,9,17487,vip,vip
13395,9,13395,vip,vip
33121,9,33121,vip,vip
52531,9,52531,vip,vip
45121,9,45121,vip,vip
17577,9,17577,vip,vip
7118,9,7118,vip,vip
43285,9,43285,vip,vip
24551,9,24551,vip,vip
13781,9,13781,vip,vip
5832,9,5832,vip,vip
6710,9,6710,vip,vip
56127,9,56127,vip,vip
37894,9,37894,vip,vip
4597,9,4597,vip,vip
20659,9,20659,vip,vip
21254,9,21254,vip,vip
30408,9,30408,vip,vip
9102,9,9102,vip,vip
17388,9,17388,vip,vip
17965,9,17965,vip,vip
5123,9,5123,vip,vip
24824,9,24824,vip,vip
6174,9,6174,vip,vip
41805,9,41805,vip,vip
9234,9,9234,vip,vip
29365,9,29365,vip,vip
36591,9,36591,vip,vip
36424,9,36424,vip,vip
21698,9,21698,vip,vip
62484,9,62484,vip,vip
14807,9,14807,vip,vip
39718,9,39718,vip,vip
36130,9,36130,vip,vip
48689,9,48689,vip,vip
5271,9,5271,vip,vip
46290,9,46290,vip,vip
22672,9,22672,vip,vip
7734,9,7734,vip,vip
45071,9,45071,vip,vip
51423,9,51423,vip,vip
24768,9,24768,vip,vip
42947,9,42947,vip,vip
40832,9,40832,vip,vip
36490,9,36490,vip,vip
4234,9,4234,vip,vip
54845,9,54845,vip,vip
38946,9,38946,vip,vip
8999,9,8999,vip,vip
34212,9,34212,vip,vip
15047,9,15047,vip,vip
28684,9,28684,vip,vip
36080,9,36080,vip,vip
21721,9,21721,vip,vip
16071,9,16071,vip,vip
69150,9,69150,vip,vip
7424,9,7424,vip,vip
17808,9,17808,vip,vip
26200,9,26200,vip,vip
16160,9,16160,vip,vip
44538,9,44538,vip,vip
29214,9,29214,vip,vip
49156,9,49156,vip,vip
7549,9,7549,vip,vip
41643,9,41643,vip,vip
31869,9,31869,vip,vip
909,9,909,vip,vip
11851,9,11851,vip,vip
44345,9,44345,vip,vip
17299,9,17299,vip,vip
42760,9,42760,vip,vip
45272,9,45272,vip,vip
9015,9,9015,vip,vip
28207,9,28207,vip,vip
24480,9,24480,vip,vip
10436,9,10436,vip,vip
18143,9,18143,vip,vip
38787,9,38787,vip,vip
26337,9,26337,vip,vip
31213,9,31213,vip,vip
21688,9,21688,vip,vip
6816,9,6816,vip,vip
36019,9,36019,vip,vip
5646,9,5646,vip,vip
1249,9,1249,vip,vip
46959,9,46959,vip,vip
11267,9,11267,vip,vip
37020,9,37020,vip,vip
38173,9,38173,vip,vip
4776,9,4776,vip,vip
19838,9,19838,vip,vip
1495,9,1495,vip,vip
21818,9,21818,vip,vip
12723,9,12723,vip,vip
1998,9,1998,vip,vip
24510,9,24510,vip,vip
13273,9,13273,vip,vip
18730,9,18730,vip,vip
46860,9,46860,vip,vip
59435,9,59435,vip,vip
22543,9,22543,vip,vip
36785,9,36785,vip,vip
14691,9,14691,vip,vip
23113,9,23113,vip,vip
47899,9,47899,vip,vip
24352,9,24352,vip,vip
10610,9,10610,vip,vip
64515,9,64515,vip,vip
12702,9,12702,vip,vip
4345,9,4345,vip,vip
1560,9,1560,vip,vip
20986,9,20986,vip,vip
25504,9,25504,vip,vip
5634,9,5634,vip,vip
23237,9,23237,vip,vip
57091,9,57091,vip,vip
7907,9,7907,vip,vip
6391,9,6391,vip,vip
26573,9,26573,vip,vip
25630,9,25630,vip,vip
42444,9,42444,vip,vip
18063,9,18063,vip,vip
15830,9,15830,vip,vip
19567,9,19567,vip,vip
25218,9,25218,vip,vip
807,9,807,vip,vip
64557,9,64557,vip,vip
26017,9,26017,vip,vip
21642,9,21642,vip,vip
170,9,170,vip,vip
15317,9,15317,vip,vip
2025,9,2025,vip,vip
49278,9,49278,vip,vip
29372,9,29372,vip,vip
3698,9,3698,vip,vip
46976,9,46976,vip,vip
19008,9,19008,vip,vip
5721,9,5721,vip,vip
8826,9,8826,vip,vip
15239,9,15239,vip,vip
20120,9,20120,vip,vip
1763,9,1763,vip,vip
9378,9,9378,vip,vip
27445,9,27445,vip,vip
11243,9,11243,vip,vip
21394,9,21394,vip,vip
76264,9,76264,vip,vip
1415,9,1415,vip,vip
43837,9,43837,vip,vip
2998,9,2998,vip,vip
2139,9,2139,vip,vip
52103,9,52103,vip,vip
3724,9,3724,vip,vip
835,9,835,vip,vip
57672,9,57672,vip,vip
25808,9,25808,vip,vip
